"layer","case","idx","us"
"B0-A","P0 (not_matched)","1","16.500473022460938"
"B0-A","P0 (not_matched)","2","15.000343322753906"
"B0-A","P0 (not_matched)","3","15.001058578491211"
"B0-A","P0 (not_matched)","4","15.499353408813477"
"B0-A","P0 (not_matched)","5","15.500545501708984"
"B0-A","P0 (not_matched)","6","15.500068664550781"
"B0-A","P0 (not_matched)","7","15.50602912902832"
"B0-A","P0 (not_matched)","8","15.513420104980469"
"B0-A","P0 (not_matched)","9","15.106916427612305"
"B0-A","P0 (not_matched)","10","15.500783920288086"
"B0-A","P0 (not_matched)","11","14.999628067016602"
"B0-A","P0 (not_matched)","12","15.500545501708984"
"B0-A","P0 (not_matched)","13","15.500068664550781"
"B0-A","P0 (not_matched)","14","15.000104904174805"
"B0-A","P0 (not_matched)","15","15.500783920288086"
"B0-A","P0 (not_matched)","16","15.004396438598633"
"B0-A","P0 (not_matched)","17","15.995979309082031"
"B0-A","P0 (not_matched)","18","15.000104904174805"
"B0-A","P0 (not_matched)","19","15.501260757446289"
"B0-A","P0 (not_matched)","20","15.499353408813477"
"B0-A","P0 (not_matched)","21","15.00558853149414"
"B0-A","P0 (not_matched)","22","15.511751174926758"
"B0-A","P0 (not_matched)","23","15.518903732299805"
"B0-A","P0 (not_matched)","24","16.492605209350586"
"B0-A","P0 (not_matched)","25","15.500545501708984"
"B0-A","P0 (not_matched)","26","15.49983024597168"
"B0-A","P0 (not_matched)","27","15.000581741333008"
"B0-A","P0 (not_matched)","28","15.000343322753906"
"B0-A","P0 (not_matched)","29","15.49983024597168"
"B0-A","P0 (not_matched)","30","15.000581741333008"
"B0-A","P0 (not_matched)","31","15.000104904174805"
"B0-A","P0 (not_matched)","32","15.501022338867188"
"B0-A","P0 (not_matched)","33","14.999628067016602"
"B0-A","P0 (not_matched)","34","15.500783920288086"
"B0-A","P0 (not_matched)","35","15.004873275756836"
"B0-A","P0 (not_matched)","36","15.511512756347656"
"B0-A","P0 (not_matched)","37","15.000343322753906"
