"size","stage","sample_count","median_us","p95_us","mean_us","min_us","max_us","equivalence"
"5","parse","20","4.992485046386719","10.008811950683594","5.00035285949707","0","10.018348693847656","matched/matched"
"5","lower","20","0","9.999275207519531","2.000093460083008","0","10.008811950683594","matched/matched"
"5","validate","20","0","10.008811950683594","3.999948501586914","0","10.023117065429688","matched/matched"
"5","canonicalize","20","55.00078201293945","60.00995635986328","55.001020431518555","49.991607666015625","60.00995635986328","matched/matched"
"5","plan","20","9.999275207519531","10.004043579101562","8.00013542175293","0","10.008811950683594","matched/matched"
"5","whole_pipeline","20","79.9870491027832","80.08956909179688","77.50177383422852","69.99969482421875","100.01182556152344","matched/matched"
"10","parse","20","9.999275207519531","10.008811950683594","9.499788284301758","0","10.056495666503906","matched/matched"
"10","lower","20","0","10.004043579101562","3.4999847412109375","0","10.013580322265625","matched/matched"
"10","validate","20","10.004043579101562","20.003318786621094","12.500286102294922","9.989738464355469","20.003318786621094","matched/matched"
"10","canonicalize","20","170.00675201416016","180.00125885009766","170.1211929321289","159.99317169189453","182.0516586303711","matched/matched"
"10","plan","20","19.998550415039062","20.008087158203125","20.000219345092773","19.989013671875","20.012855529785156","matched/matched"
"10","whole_pipeline","20","210.00385284423828","210.01338958740234","207.5042724609375","199.97596740722656","210.04199981689453","matched/matched"
"25","parse","15","16.66545867919922","33.33886464436849","22.221671210394966","16.649564107259113","33.34681193033854","matched/matched"
"25","lower","15","0","16.681353251139324","7.778273688422311","0","16.681353251139324","matched/matched"
"25","validate","15","66.63004557291667","66.66978200276692","58.89044867621528","49.996376037597656","66.67772928873698","matched/matched"
"25","canonicalize","15","866.6833241780599","883.3487828572592","868.0232365926106","850.0178654988607","903.4315745035807","matched/matched"
"25","plan","15","83.33524068196614","99.99275207519531","85.55730183919269","83.31934611002605","100.00069936116536","matched/matched"
"25","whole_pipeline","15","1000.0069936116537","1000.0785191853842","993.6168458726672","983.3494822184244","1000.4043579101562","matched/matched"
"50","parse","10","49.996376037597656","50.02021789550781","45.00269889831543","25.010108947753906","50.02021789550781","matched/matched"
"50","lower","10","24.98626708984375","24.998188018798828","14.997720718383789","0","25.010108947753906","matched/matched"
"50","validate","10","224.98369216918945","225.0075340270996","217.50450134277344","199.9974250793457","225.04329681396484","matched/matched"
"50","canonicalize","10","3525.0723361968994","3530.13277053833","3525.654077529907","3500.056266784668","3575.0627517700195","matched/matched"
"50","plan","10","324.9943256378174","325.01220703125","319.0875053405762","300.0020980834961","350.034236907959","matched/matched"
"50","whole_pipeline","10","3925.126791000366","3950.071334838867","3933.091163635254","3925.0612258911133","3950.0832557678223","matched/matched"
"100","parse","10","99.98083114624023","100.04043579101562","90.00539779663086","49.996376037597656","100.13580322265625","matched/matched"
"100","lower","10","49.996376037597656","50.02021789550781","34.999847412109375","0","50.02021789550781","matched/matched"
"100","validate","10","800.013542175293","850.0099182128906","810.0152015686035","799.9897003173828","850.0576019287109","matched/matched"
"100","canonicalize","10","15550.32730102539","15600.323677062988","15525.481700897217","15401.911735534668","15600.323677062988","matched/matched"
"100","plan","10","1250.016689300537","1250.0762939453125","1235.029697418213","1199.960708618164","1300.048828125","matched/matched"
"100","whole_pipeline","10","16950.345039367676","17036.914825439453","16955.35182952881","16860.556602478027","17050.33779144287","matched/matched"
"250","parse","8","200.0570297241211","299.7398376464844","224.99561309814453","199.98550415039062","299.97825622558594","matched/matched"
"250","lower","8","99.99275207519531","100.04043579101562","87.48769760131836","0","100.08811950683594","matched/matched"
"250","validate","8","5000.042915344238","5000.162124633789","4957.157373428345","4800.081253051758","5056.571960449219","matched/matched"
"250","canonicalize","8","136802.69718170166","137624.1683959961","136975.19302368164","136089.99252319336","138072.2999572754","matched/matched"
"250","plan","8","7750.153541564941","7900.142669677734","7615.327835083008","7200.145721435547","8000.18310546875","matched/matched"
"250","whole_pipeline","8","144702.95906066895","145803.1177520752","144901.00741386414","144073.29559326172","145826.5781402588","matched/matched"
"500","parse","6","499.96376037597656","499.96376037597656","444.45196787516284","333.3091735839844","500.04323323567706","matched/matched"
"500","lower","6","166.69432322184247","166.73405965169272","166.66783226860895","166.57511393229166","166.73405965169272","matched/matched"
"500","validate","6","19333.759943644207","19333.839416503906","19389.27173614502","19333.600997924805","19666.98964436849","matched/matched"
"500","canonicalize","6","753186.8616739908","755430.6983947754","752590.8682081434","748665.1738484701","755905.6282043457","matched/matched"
"500","plan","6","26503.24503580729","27500.470479329426","26862.541834513348","26333.80889892578","28000.593185424805","matched/matched"
"500","whole_pipeline","6","774940.1728312175","778404.712677002","775469.8461956448","771925.687789917","780505.2598317465","matched/matched"
