"eval_number","wall_ms","tools_call_delta","tools_call_cumulative","trail_lines","trail_bytes","replay_files","replay_bytes","replay_claims","replay_locks","replay_chain_files","replay_execution_dirs","replay_directories","stage_core_mcp_us","stage_shared_boundary_total_us","stage_replay_admit_total_us","stage_replay_admit_mean_us","stage_replay_publish_total_us","stage_provider_call_total_us","stage_trail_total_us","stage_scope_policy_total_us"
"1","765.645","10","10","20","5012","51","25088","10","10","31","10","25","708","760346","259937","25993.7","464829","20811","13245","143"
"2","949.03","10","20","40","10024","101","50149","20","20","61","20","45","821","943379","432523","43252.3","467776","25720","15763","154"
"3","1075.101","10","30","60","15036","151","75210","30","30","91","30","64","823","1069920","579063","57906.3","461630","15063","12712","153"
"4","1242.403","10","40","80","20048","201","100271","40","40","121","40","83","693","1237477","745781","74578.1","462666","13864","13717","141"
"5","1400.777","10","50","100","25060","251","125332","50","50","151","50","103","730","1395786","901953","90195.3","466456","11907","14054","144"
"6","1553.121","10","60","120","30072","301","150393","60","60","181","60","122","695","1548104","1065965","106596.5","455889","11706","13027","153"
"7","1717.622","10","70","140","35084","351","175454","70","70","211","70","140","675","1712660","1233229","123322.9","452219","13927","11853","146"
"8","1860.744","10","80","160","40096","401","200515","80","80","241","80","157","666","1855819","1376294","137629.4","455118","10664","12349","151"
"9","1996.688","10","90","180","45108","451","225576","90","90","271","90","172","722","1991729","1508525","150852.5","459375","10697","11630","149"
"10","2126.207","10","100","200","50120","501","250637","100","100","301","100","191","695","2121238","1646062","164606.2","450444","10923","12398","146"
"11","2283.79","10","110","220","55132","551","275698","110","110","331","110","206","686","2278884","1799373","179937.3","455324","10686","12067","165"
"12","2447.149","10","120","240","60144","601","300759","120","120","361","120","219","674","2442180","1957115","195711.5","460069","11809","11725","149"
